CACO2;COLO201;COLO205;COLO320;DLD1;HCC2998;HCT116;HCT15;HT29;IS1;IS2;KM12;LIM1215;LIM2405;RKO;RW2982;RW7213;SKCO1;SW1116;SW403;SW620;SW837;SW948;T84;VACO5
PRDM16;3.347714409;3.885591895;3.350634813;3.48070133;3.274500132;3.277067035;4.894810755;3.891135502;3.22842662;3.62268108;3.525599352;4.242009241;3.407657938;5.002001626;6.473253049;5.458082483;3.43091149;3.400201016;3.346302413;3.590150701;4.879751025;3.420277645;3.682164106;4.030428331;3.227500228
PRDM5;4.434890134;3.363486459;3.180521128;5.515690991;4.332665784;4.580876397;3.921760733;4.225201002;4.271094243;4.892330359;4.049261327;3.443090756;4.789214709;4.907845186;5.926897862;3.406101074;3.342390742;4.18581161;3.662167549;3.911660718;3.407594671;4.128471441;3.658892603;3.22160328;3.334123671
QPCT;4.122197214;8.498775261;8.884615113;10.08033191;10.23599005;3.312670244;3.418963788;9.849232749;9.977644789;5.06937384;9.095111321;3.603522425;8.399879559;3.573034087;3.7002676;3.432919068;8.520537448;6.883231911;3.379491773;9.539407781;7.12322132;8.025882092;8.995986121;8.612994034;3.825492067
RAB6B;5.179079477;4.349624195;4.299267614;4.76063535;5.511836068;4.358725181;5.879558344;5.049490063;4.315213401;6.968131194;5.438901524;4.451416594;4.448906403;5.644208135;4.280238262;4.403180821;5.416470825;4.201377461;4.267328908;6.387809936;4.409995119;5.125215392;5.73516478;4.212437441;4.52889029
RASEF;4.135652453;6.978233411;7.51093157;5.825694596;7.360156568;7.044569019;4.701771188;6.707326383;7.978258982;6.828127712;7.338806414;7.284294948;6.219595775;5.34800371;4.362298365;6.199968204;6.242182832;4.106434885;7.294315662;6.739262783;4.41611845;6.391781227;8.368984321;5.227584041;8.597615987
RASGRF2;5.424553926;4.411922743;4.592192776;4.541652676;7.196602618;6.461419112;4.673443959;4.693247402;6.806439698;4.660126386;7.123713418;7.576649986;8.147706602;6.50332457;4.676444216;4.451971325;7.209326541;4.519974371;6.013083956;4.373327288;6.902116768;5.424538322;6.164061577;6.55181584;7.631665192
RNF186;4.742530036;5.248257871;5.214938236;4.335291275;4.982143676;5.441639827;5.183096669;4.770573414;5.063386674;4.783847778;6.543206602;5.042287073;7.317681574;4.838005078;5.064537282;5.522662205;5.878524589;5.199089772;7.543207516;5.352928401;4.830272409;4.792650097;5.611210621;5.73248336;5.056892774
SOSTDC1;7.200522597;4.211460119;3.632906657;5.445023355;3.490889266;3.58448287;4.007066228;3.727440037;6.993917721;4.875383086;3.82911076;7.075994498;3.636285362;3.71160933;3.719683333;3.739517548;4.698725558;6.08059152;4.151368662;3.533303691;4.530330949;3.959729786;4.335720536;3.548004305;4.157285889
SOX2;9.492964718;3.590492064;3.271220138;4.288932759;3.217319505;3.113939546;3.781773803;3.47514863;3.593197987;3.42774624;3.375373277;8.604839178;3.505334976;3.56586151;3.55464553;3.150527572;5.013744054;8.040455546;3.776392568;5.75007403;9.087388594;3.623768427;5.35856277;3.259600132;8.906600295
SPON1;7.950521995;3.704701377;3.611532377;3.900370223;3.280085662;3.840065187;3.653746879;3.311296106;3.475838452;3.540784777;3.540018632;8.393900564;3.396587665;3.70008979;3.61768789;3.487159905;8.830616056;3.268525873;3.310311239;3.364094665;3.231392506;7.210504604;5.565090248;8.796776535;3.605787131
ST6GALNAC1;4.450385174;7.071429132;8.71372213;3.664616386;5.179379777;4.673983255;3.766762499;3.78445022;6.578037323;3.755520081;8.374650402;7.37091956;8.519330713;3.75707058;3.810228227;3.738750742;5.695264062;7.939428165;9.224666502;8.419326484;3.693239883;3.800893334;6.386038112;8.357466487;5.544774944
STEAP4;3.706217378;3.872622249;4.055197386;3.850447461;7.083429935;4.626648504;4.554373933;6.935828468;8.462942828;7.569828305;7.394635028;3.827072119;4.88341197;4.871407162;3.997795729;4.298886159;7.000451784;6.410100948;4.409329497;4.990084513;3.889678249;6.220036873;4.559608043;4.667635344;5.667290343
STK33;3.460197711;3.515077258;3.346813256;4.691622499;3.537204852;3.661606299;4.877783211;3.395075144;3.336236959;5.582612628;3.543307389;4.722848325;4.821345057;3.468294068;3.438770712;3.612355472;3.598479216;3.465608221;3.701402987;3.702162153;3.524842869;3.519922941;3.527540584;3.537654662;3.631672726
SYN2;4.554774281;4.483600293;4.346010325;6.088420793;4.510039986;4.508006469;6.158742454;4.552631254;4.60290143;4.574670294;4.31704006;4.571670266;4.531579306;4.492122715;4.398467021;4.585684497;4.45256025;4.48745976;4.900274564;4.65025708;4.30331118;4.652833697;4.63836149;4.600789063;4.728868477
TAPBPL;6.58519918;6.213173214;6.468893665;4.834023789;5.979365528;6.530757923;4.833068742;6.085981205;5.238257877;7.504232715;7.007048754;7.120350859;7.381385312;5.185051131;5.406261589;5.979007394;7.073232767;6.654011891;5.955430503;6.179434456;7.122385398;6.472806919;6.034236142;7.709468639;5.169298168
THRB;7.102272459;5.382873514;6.539642047;3.985775935;3.581391737;6.630662627;5.891699298;3.931530654;5.497576698;3.843662594;4.180474415;7.463419555;8.379078347;5.044715585;3.760992756;4.449282192;5.823082237;3.570737271;3.284622772;5.323482643;3.543850202;3.992202799;6.411975493;6.689127926;4.866065867
TRAM1L1;4.36274905;4.427443133;4.279084023;6.120750427;3.957013083;5.763194935;4.465677644;4.062488208;4.273205098;6.188700709;4.968792938;4.365543929;4.837634014;4.303376805;4.233563431;4.482999375;4.301782761;4.074672506;4.42526629;4.422902342;4.203903265;4.275828345;4.579188495;4.224537804;4.410405876
WNK4;4.141084059;4.306913674;4.455248131;4.347790537;4.231736543;4.930452206;4.715557956;4.388865617;5.520240215;4.98403273;6.674990565;4.514648387;6.44354105;5.252648037;5.066994845;4.63108185;5.933707326;6.087412225;8.910137622;7.1327867;4.802232342;3.900229882;7.472385449;6.375696161;4.402936832
