X17753;X17754;X17755;X17756;X17757;X17758;X17760;X17761;X17762;X17763;X17764;X17765;X17766;X17767;X17768;X17769;X17770;X17771;X17772;X17773;X17774;X17775;X17776;X17777;X17778
NCOR2;0.343495838;0.535635139;0.669308683;0.457181694;0.277077111;0.211032297;0.152318407;0.250933058;0.187005254;0.386800181;0.434276243;0.384443454;0.723400744;0.815907984;0.45602607;0.288732353;0.638650062;0.072525399;0.249597694;0.350567806;0.84485406;0.563909016;0.143770736;0.460984531;0.280211533
P4HA3;0.145735529;0.181244102;0.381308714;0.264914072;0.092036933;0.386956644;0.109810951;0.384791204;0.089841318;0.133698352;0.199073686;0.158965724;0.411882312;0.071543788;0.240614204;0.300245929;0.629619321;0.063597258;0.475786811;0.405844946;0.706898577;0.274862489;0.037621035;0.100270937;0.153582111
P8;0.226153843;0.625210737;0.465997075;0.308577716;0.127781489;0.494281985;0.662765924;0.567077042;0.145626658;0.456824688;0.255660539;0.34383574;0.390639375;0.288684073;0.254250043;0.260771488;0.223336836;0.063976796;0.358774911;0.154224079;0.817104796;0.263184444;0.104787631;0.638534442;0.312264784
SH3GL2;0.190375039;0.204996579;0.100867002;0.183942295;0.145325634;0.11920207;0.167779024;0.482098487;0.675483818;0.137097745;0.145228657;0.153669631;0.432514082;0.111123634;0.260964442;0.547393253;0.09561859;0.036838337;0.102070991;0.146080414;0.358229545;0.276679816;0.070352485;0.288253389;0.08603706
SMARCA1;0.261574598;0.097930763;0.11283145;0.505752158;0.640152337;0.074206988;0.075027814;0.103366616;0.066344002;0.225817848;0.085820413;0.123553203;0.068648925;0.165486219;0.358221893;0.079029703;0.076625855;0.41645639;0.074443552;0.61964611;0.266428447;0.121353807;0.088711398;0.443924748;0.070439681
SMO;0.411074296;0.389793355;0.112999873;0.609796744;0.682822841;0.262445355;0.44877883;0.711223203;0.383985389;0.041742559;0.067769475;0.085829143;0.247619136;0.224630509;0.059908958;0.220627298;0.045971018;0.028185895;0.063789697;0.070165873;0.69974296;0.12465659;0.028444275;0.056019012;0.101907079
TITF1;0.069912833;0.055775154;0.01760374;0.033865527;0.059705446;0.029853908;0.082960359;0.025355373;0.034289887;0.028243401;0.026782991;0.031850087;0.272937306;0.026930001;0.039774019;0.369765185;0.03245472;0.011247938;0.044991103;0.04718939;0.521228298;0.100648948;0.01779012;0.067703536;0.021442404
TLR7;0.223437681;0.267963395;0.35599788;0.173852817;0.213545173;0.705642882;0.208055143;0.614613413;0.32085912;0.191870529;0.398484174;0.548686757;0.359571842;0.509176996;0.142829013;0.147446858;0.496014644;0.262984345;0.490108952;0.311111128;0.193662038;0.352130728;0.269618014;0.356767209;0.331758352
TP53INP1;0.474362281;0.261253375;0.061969154;0.58584241;0.094028544;0.766626409;0.047867692;0.142610585;0.028726318;0.413949592;0.217759009;0.056415572;0.13525586;0.767950509;0.033978189;0.148805257;0.260740435;0.041286932;0.080772248;0.613763366;0.030538507;0.05232511;0.0225485;0.124716847;0.053305399
TRPM8;0.460366876;0.660524228;0.110949897;0.26314569;0.152275118;0.230283819;0.129075332;0.191803622;0.094341298;0.299190662;0.713538059;0.706834005;0.371470421;0.170279614;0.338246103;0.136375763;0.105468153;0.063781346;0.481209251;0.264068223;0.494806283;0.577120731;0.095757634;0.256857706;0.13771898
UBL4A;0.493458249;0.095465079;0.038927301;0.514416125;0.648982215;0.061111726;0.126468436;0.068637789;0.08121528;0.429401113;0.109612187;0.059614712;0.065054165;0.276468582;0.576625411;0.024835446;0.019407217;0.62150948;0.038125977;0.456497603;0.331982984;0.049149104;0.03527061;0.5685465;0.039005286
ZNF550;0.032028802;0.035027642;0.201313411;0.032730285;0.030677862;0.032900251;0.069008117;0.741928692;0.03008317;0.027403439;0.036126026;0.035422382;0.021392451;0.02251301;0.024155675;0.026270683;0.030561756;0.027487892;0.030447778;0.024748515;0.573263922;0.4064881;0.025387611;0.037931698;0.027454723
ZNF71;0.050608689;0.04822179;0.095043584;0.043610617;0.034979877;0.052363728;0.069375667;0.184249791;0.036271439;0.284099583;0.044867549;0.057863372;0.037788008;0.039227769;0.049867821;0.312873321;0.038039856;0.064844082;0.525138223;0.032612816;0.422607666;0.036374139;0.035775642;0.040767889;0.037982391
