CACO2;COLO201;COLO205;COLO320;DLD1;HCC2998;HCT116;HCT15;HT29;IS1;IS2;KM12;LIM1215;LIM2405;RKO;RW2982;RW7213;SKCO1;SW1116;SW403;SW620;SW837;SW948;T84;VACO5
MEP1A;0.15109625;0.41339125;0.1835577;0.50357465;0.6869547;0.66343375;0.8520415;0.4704404;0.3580462;0.7380373;0.089523985;0.39949665;0.11332015;0.71214425;0.8401988;0.1315789;0.08099994;0.15909195;0.1108277;0.11673979;0.55994245;0.246538;0.06645418;0.04602481;0.8272397
MYT1;0.5130118;0.069110665;0.064541115;0.06237301;0.7991466;0.05113233;0.89661995;0.8584993;0.042974845;0.5030311;0.4520728;0.63777515;0.47006815;0.82417975;0.8813146;0.2285037;0.38734175;0.4026366;0.06663977;0.2396117;0.04483234;0.45550375;0.4050415;0.45158925;0.3278775
NOX1;0.1211268;0.3089823;0.1337304;0.8124614;0.1242759;0.8012807;0.7923746;0.2410219;0.1432373;0.1630502;0.173953;0.09471586;0.09662694;0.7606367;0.8064782;0.08787879;0.05959169;0.1064649;0.08522213;0.06905412;0.7875755;0.3520847;0.09223823;0.04085001;0.1192012
OAS2;0.7543859;0.1728096;0.4326509;0.4318171;0.8609046;0.736875;0.911768;0.6981544;0.4355659;0.6442959;0.1877158;0.4572105;0.1962991;0.8502054;0.7437864;0.7628341;0.1132147;0.7242571;0.6123176;0.4761024;0.7500587;0.1972755;0.6032438;0.05123852;0.5654218
PHYHIPL;0.04023616;0.71104085;0.8215272;0.08391244;0.79543755;0.03991406;0.7440421;0.59965245;0.7003831;0.4005034;0.45578295;0.6998456;0.1355488;0.78900025;0.60104035;0.81306315;0.22463385;0.7993905;0.7630409;0.07774776;0.06429956;0.3993572;0.482596;0.043977105;0.42879275
POF1B;0.100516605;0.09715493;0.053413725;0.70268535;0.10825895;0.04644945;0.5251158;0.3951921;0.062509675;0.22369195;0.048063835;0.119348355;0.094110175;0.63251635;0.3523;0.068338805;0.03666797;0.060102805;0.06664439;0.060664795;0.04586433;0.4220189;0.052203045;0.026790535;0.03542595
POPDC3;0.1789764;0.8004829;0.8991175;0.06548755;0.42084895;0.04985211;0.04164273;0.42449645;0.77064325;0.086965975;0.194217445;0.88462605;0.20092535;0.84150555;0.8744938;0.36388055;0.060530395;0.47638605;0.4136925;0.05721734;0.052629875;0.82037645;0.4069406;0.20567555;0.87460375
PRDM16;0.322916465;0.108484925;0.04274347;0.033469315;0.502243795;0.04832925;0.066241315;0.249047535;0.9488206;0.9585263;0.95178465;0.079154125;0.077038705;0.04222238;0.035058935;0.04254474;0.03250892;0.31647845;0.52422025;0.13679016;0.069185905;0.89242485;0.9262517;0.093479745;0.75082815
PRDM5;0.04393785;0.3017257;0.6475062;0.02266432;0.05625354;0.03860486;0.2135841;0.02370283;0.02268744;0.03332289;0.04498454;0.7843193;0.02152368;0.03778191;0.02127397;0.02454382;0.02181025;0.02972973;0.04267231;0.04213865;0.06690469;0.02250256;0.07412888;0.0184459;0.8489186
QPCT;0.1239203;0.06441678;0.06263165;0.156939;0.0820044;0.05534512;0.8717503;0.04234678;0.04639772;0.2267215;0.06716365;0.7512099;0.07937774;0.8622804;0.783089;0.8188083;0.04825262;0.1673378;0.06452586;0.253978;0.0508658;0.05377808;0.1644005;0.05621581;0.559783
RAB6B;0.02221382;0.9491615;0.9705234;0.0172139;0.03844601;0.02815113;0.01285372;0.008465609;0.5196722;0.09551417;0.04934211;0.9686888;0.0295931;0.02759575;0.9402107;0.02212216;0.02318569;0.03283762;0.0249561;0.02093902;0.01865527;0.0140354;0.0200646;0.009924958;0.9744848
RASEF;0.2623473;0.01953602;0.01439636;0.01370975;0.03002402;0.02189715;0.9532537;0.01536558;0.03191489;0.0350665;0.02107244;0.04483521;0.02915704;0.02854478;0.958137;0.01324806;0.00906542;0.0350934;0.02360261;0.02658617;0.09152791;0.01794775;0.0201359;0.007956505;0.01709899
RASGRF2;0.02142195;0.021963;0.03028415;0.3926871;0.02914135;0.03115172;0.9680738;0.02307581;0.02428373;0.5068955;0.02356857;0.02240566;0.02416198;0.02419427;0.9666531;0.944153;0.017981;0.493407;0.02053915;0.02882198;0.0437626;0.0234534;0.01340232;0.01253764;0.01240603
RNF186;0.67587455;0.041380635;0.028051545;0.755303;0.0795477;0.162792065;0.90886525;0.155343665;0.24382415;0.75187915;0.04048152;0.31556647;0.04435932;0.86992945;0.75534195;0.03621594;0.025749255;0.048519555;0.045584225;0.05333542;0.07656529;0.27417155;0.047462225;0.033136715;0.5025408
SOSTDC1;0.138912475;0.330151155;0.6605856;0.1971635;0.82135525;0.27442055;0.79703385;0.78647255;0.175523415;0.45286195;0.3204946;0.4264206;0.60943695;0.57344705;0.80536535;0.77468905;0.114678205;0.34882625;0.14837239;0.1935413;0.24833085;0.3351683;0.12214548;0.166925745;0.80832525
SOX2;0.3380014;0.87896275;0.82472115;0.332403605;0.88223025;0.314878535;0.5512477;0.87061785;0.66951715;0.69958295;0.4560575;0.33651212;0.23735951;0.6907931;0.8791239;0.35232499;0.318378235;0.39284055;0.35412147;0.35572964;0.30851627;0.8504331;0.35291222;0.271851385;0.449904845
SPON1;0.22279372;0.51522985;0.67012065;0.084755785;0.7731303;0.27775718;0.79361615;0.70561315;0.57087765;0.8320186;0.6690879;0.12440367;0.49795445;0.5462699;0.78920805;0.7474489;0.02106267;0.6302816;0.06627127;0.21468355;0.2599886;0.18627627;0.3434736;0.06036973;0.8531087
ST6GALNAC1;0.74231555;0.163267;0.062595775;0.32747755;0.47434225;0.54899335;0.7961543;0.6277221;0.10133066;0.5152885;0.06626646;0.098723245;0.074153275;0.54491815;0.50702135;0.060633275;0.052286015;0.090760015;0.134208775;0.11744368;0.61929275;0.43272745;0.09224576;0.044421545;0.24609405
STEAP4;0.29624675;0.241752975;0.038859235;0.8943835;0.05177781;0.3806146;0.5964866;0.037230325;0.0320958;0.05953118;0.1625278;0.34791965;0.05545424;0.209959215;0.89170665;0.8697275;0.03305041;0.04723864;0.046466155;0.09934829;0.4359241;0.0379486;0.05247415;0.036267675;0.036074965
STK33;0.5393296;0.866634;0.9552403;0.05110891;0.9562338;0.7437272;0.03200159;0.9689474;0.9182057;0.03867364;0.6739636;0.03096843;0.03333097;0.9624463;0.9621231;0.7407514;0.3904944;0.900784;0.9095846;0.5225968;0.681249;0.9533407;0.9015657;0.2598122;0.9265882
SYN2;0.5293733;0.9311783;0.93522725;0.027554635;0.9167661;0.49789425;0.018288795;0.9517268;0.9228542;0.87729585;0.8569357;0.9293864;0.32098559;0.9410519;0.9409434;0.6140974;0.249843615;0.7599805;0.9072705;0.17837835;0.47846205;0.92291275;0.9297525;0.492030035;0.93849715
TAPBPL;0.1479501;0.06438114;0.053157;0.5417696;0.07759425;0.0680098;0.82051165;0.055187845;0.4544811;0.07860127;0.07804771;0.07270814;0.0602924;0.0894104;0.060641925;0.062692005;0.055696805;0.07649058;0.05663905;0.08460284;0.064652565;0.05361466;0.1438701;0.057761055;0.061582285
THRB;0.0583321233333333;0.06214649;0.04654571;0.338826096666667;0.885573883333333;0.1845651;0.163603623333333;0.899570316666667;0.06591437;0.760588716666667;0.70573395;0.060985605;0.138011295;0.136012733333333;0.896258783333333;0.0481010366666667;0.0899407166666667;0.138678795;0.0506049533333333;0.0630357916666667;0.17316427;0.0460963683333333;0.0813415433333333;0.0471747316666667;0.0599215316666667
TRAM1L1;0.1676341;0.7810765;0.9365921;0.04178536;0.89236835;0.069694335;0.9319621;0.8262498;0.76723855;0.05715504;0.12910869;0.90480855;0.070816835;0.91864175;0.91819885;0.053061385;0.079052735;0.05373593;0.25532326;0.08829864;0.13084195;0.7451095;0.054218205;0.02927054;0.89448625
WNK4;0.02178472;0.03489653;0.1196811;0.6761652;0.9367741;0.02250502;0.9423435;0.9561704;0.03069486;0.7378165;0.03006721;0.914465;0.1197778;0.9446772;0.939272;0.02019774;0.02389079;0.0322293;0.02022129;0.05232358;0.03171981;0.01633079;0.0226073;0.0227704;0.8020712
